Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban Population,SP.URB.TOTL.IN.ZS,Thailand,THA,47.694,48.448,49.2,49.949,50.692,51.43,52.163
Urban Population,SP.URB.TOTL.IN.ZS,Timor-Leste,TLS,29.49,29.85,30.212,30.578,30.947,31.32,31.695
Urban Population,SP.URB.TOTL.IN.ZS,Togo,TGO,40.1,40.628,41.162,41.702,42.248,42.8,43.358
Urban Population,SP.URB.TOTL.IN.ZS,Tonga,TON,23.275,23.222,23.169,23.131,23.107,23.099,23.104
Urban Population,SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,53.319,53.25,53.205,53.184,53.187,53.214,53.265
Urban Population,SP.URB.TOTL.IN.ZS,Tunisia,TUN,68.056,68.346,68.642,68.945,69.254,69.568,69.888
Urban Population,SP.URB.TOTL.IN.ZS,Turkiye,TUR,73.611,74.134,74.644,75.143,75.63,76.105,76.569
Urban Population,SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,50.317,50.728,51.153,51.593,52.048,52.516,52.998
Urban Population,SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,92.195,92.517,92.817,93.098,93.36,93.605,93.834
Urban Population,SP.URB.TOTL.IN.ZS,Tuvalu,TUV,59.73,60.645,61.53,62.387,63.215,64.014,64.785
Urban Population,SP.URB.TOTL.IN.ZS,Uganda,UGA,22.06,22.624,23.196,23.774,24.361,24.954,25.553
Urban Population,SP.URB.TOTL.IN.ZS,Ukraine,UKR,69.061,69.154,69.246,69.352,69.473,69.608,69.757
Urban Population,SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,85.674,85.965,86.248,86.522,86.789,87.048,87.299
Urban Population,SP.URB.TOTL.IN.ZS,United Kingdom,GBR,82.626,82.886,83.143,83.398,83.652,83.903,84.152
Urban Population,SP.URB.TOTL.IN.ZS,United States,USA,81.671,81.862,82.058,82.256,82.459,82.664,82.873
Urban Population,SP.URB.TOTL.IN.ZS,Upper middle income,UMC,62.28404576,63.15026529,64.00468476,64.8449083,65.66453127,66.4593353,67.23119925
Urban Population,SP.URB.TOTL.IN.ZS,Uruguay,URY,95.045,95.144,95.24,95.334,95.426,95.515,95.603
Urban Population,SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,50.75,50.65,50.55,50.478,50.433,50.416,50.427
Urban Population,SP.URB.TOTL.IN.ZS,Vanuatu,VUT,24.961,25.062,25.163,25.274,25.394,25.525,25.665
Urban Population,SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,88.154,88.165,88.183,88.208,88.24,88.279,88.325
Urban Population,SP.URB.TOTL.IN.ZS,Viet Nam,VNM,33.809,34.51,35.213,35.919,36.628,37.34,38.052
Urban Population,SP.URB.TOTL.IN.ZS,Virgin Islands (U.S.),VIR,95.35,95.48,95.603,95.721,95.832,95.939,96.04
Urban Population,SP.URB.TOTL.IN.ZS,West Bank and Gaza,PSE,75.368,75.628,75.894,76.164,76.44,76.719,77.003
Urban Population,SP.URB.TOTL.IN.ZS,World,WLD,53.82724997,54.28606635,54.73886802,55.18762163,55.6306125,56.06473144,56.47813121
Urban Population,SP.URB.TOTL.IN.ZS,"Yemen, Rep.",YEM,34.777,35.394,36.016,36.642,37.273,37.908,38.546
Urban Population,SP.URB.TOTL.IN.ZS,Zambia,ZMB,41.907,42.438,42.976,43.521,44.072,44.629,45.192
Urban Population,SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,32.385,32.296,32.237,32.209,32.21,32.242,32.303
